NAME,T,E,MMIP,MDAMS,UMIP,UDAMS,S,M,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s046,8,16,199.339309,199.339309,19515,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s064,8,16,171.757605,171.757605,17088,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s065,8,17,156.259159,156.259159,20005,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s013,8,16,198.296603,198.296601,16133,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s012,8,16,141.163059,141.163058,27718,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s081,8,16,211.900119,211.900119,15231,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s080,8,16,231.313194,231.313194,24440,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s027,8,16,170.987507,170.987508,13765,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s026,8,16,223.690525,223.690525,24094,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s019,8,16,220.428172,220.428171,17816,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s018,8,16,148.955526,148.955525,27013,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s050,8,16,192.290749,192.290749,7041,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s051,8,17,170.269693,170.269693,23397,14000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s034,8,17,170.427503,170.427502,29649,17000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s035,8,17,145.877063,145.877064,16827,14000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s043,8,17,178.770278,178.770279,18659,15000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s042,8,17,207.866314,207.866315,12985,16000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s098,8,17,163.412745,163.412746,9895,15000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s099,8,17,178.641721,178.64172,16787,15000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s077,8,17,135.812744,135.812744,19990,16000,false,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s076,8,17,172.396049,172.396049,24850,14000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s001,8,17,173.048146,173.048146,31434,14000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s092,8,17,146.187921,146.187921,19808,16000,false,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s093,8,17,208.335142,208.335142,18851,14000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s049,8,17,239.76004,239.76004,27735,14000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s048,8,17,164.04378,164.043781,35709,15000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s023,8,17,192.942006,192.942006,33805,15000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s022,8,17,209.429496,209.429495,21418,15000,false,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s054,8,17,165.299843,165.299844,22980,14000,false,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s055,8,17,211.900436,211.900437,28702,15000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s060,8,17,194.327334,194.327333,11700,15000,true,true,,,,
xc7s25 t08 e015 r0.1 R0.5 d10.0 D50.0 s061,8,17,207.839074,207.839074,19430,15000,false,true,,,,
