NAME,T,E,MMIP,Mheft-nf,UMIP,Uheft-nf,S,M,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s037,13,20,189.28169,236.49988,6723087,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s036,13,23,149.478131,174.378963,93055237,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s040,13,21,167.49467,167.49467,51776449,49000,true,true,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s041,13,21,201.665697,226.829081,57043325,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s100,13,23,145.097438,163.371661,4230195949,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s009,13,20,213.14765,250.454448,18216653,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s008,13,22,167.492071,225.822395,56338279,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s073,13,21,163.960144,187.79501,22695372,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s072,13,21,191.605679,201.6744,7521607,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s096,13,24,136.483106,179.175319,438324133,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s097,13,19,129.353271,191.9001,5610929,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s004,13,23,210.10129,229.110307,2087239517,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s005,13,20,181.529504,287.452492,3812318,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s079,13,22,135.601478,193.589082,3818485,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s078,13,21,151.305044,179.107246,104837185,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s030,13,21,148.920292,212.88327,8381388,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s031,13,22,199.948456,291.807511,6000815,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s047,13,22,157.251661,228.76918,12553067,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s046,13,21,218.40756,273.728691,6391880,46000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s064,13,21,129.370053,187.352319,792903,63000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s065,13,23,203.647544,286.295419,6025669,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s013,13,22,166.683361,210.67115,4506929,46000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s012,13,20,146.210559,197.757479,87510144,46000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s081,13,21,195.472742,271.108479,2978765,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s080,13,22,222.551574,269.189686,3266132,46000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s027,13,22,146.311709,161.37064,27264655,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s026,13,23,164.241991,233.808936,33819793,46000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s019,13,22,208.014111,249.00185,1387732438,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s018,13,21,155.320803,214.654991,46544021,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s050,13,21,155.626786,193.96635,52287324,46000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s051,13,19,137.351488,169.024218,2479754,49000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s034,13,26,211.060184,237.04765,4256313,48000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s035,13,28,177.52194,177.521941,723552,50000,true,true,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s043,13,29,187.26541,206.649029,1409768,45000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s042,13,25,270.114185,342.790178,6450535,49000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s098,13,25,222.897609,258.047873,5796773,50000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s099,13,25,228.143966,256.257464,2760365,48000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s077,13,26,142.950525,170.739287,3026473,45000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s076,13,27,152.27034,203.650296,2183977,57000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s001,13,26,228.651936,298.765039,3866355,46000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s092,13,28,191.653447,210.170367,6872473,50000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s093,13,25,332.262391,332.262391,7477567,45000,false,true,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s049,13,27,193.957425,218.108209,3521023,45000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s048,13,25,227.482754,253.173752,3312917,46000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s023,13,28,210.120663,257.513459,9156929,45000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s022,13,26,250.400652,293.698668,10884627,50000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s054,13,26,172.381696,214.731783,14093395,50000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s055,13,27,233.075949,280.266144,5937238,49000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s060,13,27,191.351455,209.817548,707169,45000,false,false,,,
xc7s25 t13 e022 r0.1 R0.5 d10.0 D50.0 s061,13,27,208.424138,265.24246,905917,49000,false,false,,,
