NAME,T,E,MMIP,MDAMS,UMIP,UDAMS,S,M,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s065,14,30,261.829204,262.031283,1418660536,30000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s013,14,30,197.068702,197.068701,7340641,31000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s012,14,29,190.080538,202.08797,15572253,33000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s081,14,31,248.194673,294.972559,20124489,38000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s080,14,29,309.618008,309.618007,9729859,39000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s027,14,29,253.908184,445.443468,88963417,42000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s026,14,29,222.831442,222.831442,62628350,40000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s019,14,30,276.43045,426.158644,57620618,34000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s018,14,31,170.313763,170.313762,15228206,32000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s050,14,33,181.289699,184.592119,2765934503,45000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s051,14,30,198.699483,205.156132,16724113,35000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s034,14,51,228.068156,228.068155,8634374,37000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s035,14,51,211.608792,211.950123,9761945,42000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s043,14,51,356.050778,356.050779,10306313,45000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s042,14,51,341.009355,341.009354,8150318,41000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s098,14,52,293.792281,293.792281,43159985,39000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s099,14,52,303.844733,303.844733,5663027,40000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s077,14,51,262.830463,262.830462,12045050,40000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s076,14,52,308.227244,308.227243,29631834,47000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s001,14,53,294.791821,294.791821,18868508,39000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s092,14,51,285.842279,285.842279,3113229,39000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s093,14,51,386.372888,386.372888,13516716,46000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s049,14,53,329.033011,329.03301,23017206,48000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s048,14,51,347.033775,347.033776,55394021,65000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s023,14,51,264.701628,264.701627,71943600,35000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s022,14,52,300.470533,533.144585,29192015,42000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s054,14,52,248.639084,432.415397,25795836,41000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s055,14,52,316.250923,319.48906,19577048,41000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s060,14,51,290.003311,290.003309,11459679,43000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s061,14,52,328.15179,328.151791,24545129,44000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s029,14,52,252.440824,252.440825,31407642,42000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s028,14,51,294.181582,294.181581,11717657,44000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s085,14,52,255.314967,255.314967,25694381,48000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s084,14,51,314.283492,315.334793,17987242,45000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s017,14,51,285.645402,285.645401,21083240,39000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s016,14,51,291.852081,291.85208,23853317,41000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s024,14,51,261.637802,261.637803,14362773,39000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s025,14,52,257.443893,257.443892,21088646,43000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s088,14,52,235.02293,235.02293,7154086,41000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s089,14,52,325.511276,325.511276,26230283,41000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s053,14,52,262.712969,262.712968,35840477,38000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s052,14,52,297.164992,297.164993,179539425,48000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s067,14,51,283.784031,299.399578,23606341,52000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s066,14,51,258.212073,258.212074,19087400,45000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s059,14,51,275.235993,275.235993,32694811,45000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s058,14,51,233.409272,233.409271,31275612,42000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s010,14,52,311.130368,311.130368,45977260,39000,true,true,,,
