NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s038,6,8,133.876819,133.87682,2943,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s070,6,8,124.35084,124.35084,2573,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s071,6,8,109.3785,109.378501,2580,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s095,6,8,112.079275,112.079275,4116,13000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s094,6,8,106.539539,106.539538,2257,12000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s007,6,8,81.091745,81.091746,2203,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s006,6,8,132.880014,132.880014,2562,11000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s063,6,8,124.994421,124.994421,2024,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s062,6,8,127.162489,127.162489,2817,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s086,6,8,128.18674,128.18674,2479,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s087,6,8,88.146161,88.146161,2754,11000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s014,6,8,84.499048,84.499048,3287,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s015,6,8,145.568382,145.568383,2146,11000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s020,6,8,118.590096,118.590096,1798,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s021,6,8,133.480268,133.480268,2993,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s069,6,8,70.265206,70.265205,2513,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s068,6,8,88.070689,88.070689,2007,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s057,6,8,72.135212,72.135211,2435,11000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s056,6,8,150.890205,150.890205,3112,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s074,6,8,141.843572,141.843573,2668,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s075,6,8,104.265225,104.265226,4182,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s003,6,8,126.663234,126.663233,2289,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s002,6,8,127.198901,127.198901,8652,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s091,6,8,110.175519,110.175519,3698,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s090,6,8,126.501506,126.501506,2328,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s037,6,8,118.669678,118.669678,2819,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s036,6,8,115.663892,115.663892,2125,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s040,6,8,114.731179,114.731179,2042,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s041,6,8,117.176661,117.176661,3716,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s100,6,8,125.310453,125.310452,2771,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s009,6,8,146.591356,146.591356,2501,13000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s008,6,8,160.021715,160.021715,1681,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s073,6,8,134.74757,134.74757,2997,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s072,6,8,153.33218,153.33218,2925,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s096,6,8,76.524622,76.524622,2223,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s097,6,8,72.577096,72.577096,2941,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s004,6,8,170.691321,170.691322,3717,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s005,6,8,119.892966,119.892966,3621,12000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s079,6,8,100.629971,100.629972,2470,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s078,6,8,84.617657,84.617658,2313,13000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s030,6,8,83.428844,83.428843,2389,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s031,6,8,150.785786,150.785787,2790,13000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s047,6,8,129.951764,129.951764,2336,11000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s046,6,8,144.187296,144.187296,1673,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s064,6,8,96.984323,96.984323,2528,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s065,6,8,117.086243,117.086244,2367,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s013,6,8,116.653018,116.653017,3042,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s012,6,8,97.34299,97.342989,2117,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s081,6,8,117.727989,117.727989,2027,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s080,6,8,147.612795,147.612795,2587,11000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s027,6,8,129.286416,129.286416,2555,11000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s026,6,8,134.26917,134.26917,2398,12000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s019,6,8,165.732613,165.732613,1875,11000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s018,6,8,116.844767,116.844766,2728,11000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s050,6,8,112.127547,112.127547,2622,15000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s051,6,8,145.279154,145.279155,2293,12000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s034,6,8,76.190508,76.190508,11997,11000,true,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s035,6,8,62.905368,62.905368,5613,12000,true,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s043,6,8,60.580379,60.58038,4093,11000,true,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s042,6,8,78.246091,78.246091,5923,11000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s098,6,8,53.937687,53.937687,8889,12000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s099,6,8,70.641844,70.641844,7763,10000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s077,6,8,40.875469,40.875469,6870,13000,true,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s076,6,8,53.217534,53.217534,8452,13000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s001,6,8,56.142553,56.142553,3690,12000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s092,6,8,60.808925,60.808925,5443,11000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s093,6,8,49.127058,49.127058,2838,14000,true,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s049,6,8,85.711314,85.711314,7475,15000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s048,6,8,60.720017,60.720018,8413,12000,true,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s023,6,8,87.996632,87.996632,4997,12000,true,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s022,6,8,71.902575,71.902574,5715,12000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s054,6,8,41.762982,41.762982,5839,11000,true,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s055,6,8,82.837881,82.837882,3404,12000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s060,6,8,88.389802,88.389802,5357,11000,false,true,,,,
xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s061,6,8,88.582252,88.582252,7537,11000,true,true,,,,
