NAME	T	E	MMIP	Mheft-nf	UMIP	Uheft-nf	S	M
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s043"	6	8	106.861026	106.861026	2159	41000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s042"	6	8	148.131668	148.131669	1752	44000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s098"	6	8	103.649375	103.649375	2836	46000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s099"	6	8	119.099862	119.099862	2105	43000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s077"	6	8	76.249101	76.249101	2118	41000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s076"	6	8	121.166311	121.166311	4004	47000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s001"	6	8	110.819269	110.819269	11849	46000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s092"	6	8	106.186916	106.186916	2851	48000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s093"	6	8	151.738861	151.738861	3250	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s049"	6	8	156.847417	156.847417	2330	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s048"	6	8	89.096032	89.096033	2238	41000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s023"	6	8	141.866449	141.866449	2628	41000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s022"	6	8	125.493233	125.493232	2803	42000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s054"	6	8	77.682309	77.682310	3222	48000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s055"	6	8	142.207386	142.207387	2528	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s060"	6	8	157.386105	157.386105	3388	42000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s061"	6	8	147.957600	147.957600	2585	47000	false	true
