NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s039,12,20,164.097911,195.143921,3489581,32000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s038,12,20,202.471145,202.471145,2594539,32000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s070,12,22,125.941288,125.941288,313373,25000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s071,12,19,189.928509,197.229735,4957991,31000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s095,12,17,238.827843,405.370057,3747033,29000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s094,12,20,129.721572,197.602148,6787443,30000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s007,12,20,150.616856,150.616856,1650563,39000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s006,12,20,164.445643,164.445643,1014989,30000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s063,12,22,170.336606,170.336607,4146918,28000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s062,12,20,207.657263,207.657263,2553648,29000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s086,12,19,177.390809,178.531544,1585100,33000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s087,12,19,179.662194,179.662194,1421221,28000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s014,12,21,165.484974,165.484975,3161108,28000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s015,12,21,155.591823,156.749781,2758648,29000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s020,12,22,164.359013,177.356936,3146515,33000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s021,12,22,153.569759,158.516348,9181943,35000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s069,12,20,113.222499,113.621059,9493295,32000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s068,12,19,171.560702,171.600702,833788,30000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s057,12,19,134.070484,155.330162,5061362,29000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s056,12,20,153.072512,153.072512,680000,30000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s074,12,20,127.306292,159.032684,2045539,34000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s075,12,20,170.44986,295.484364,645493,30000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s003,12,20,173.083796,181.668419,854467,31000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s002,12,20,183.412641,183.412641,850645,25000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s091,12,20,215.146982,215.186982,1464083,33000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s090,12,21,187.545721,187.545721,923958,28000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s037,12,20,147.604615,195.97445,1099240,24000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s036,12,22,153.878987,153.878987,3391516,29000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s040,12,21,144.742647,150.678159,5026713,31000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s041,12,21,190.854807,243.671738,4101472,33000,false,false,,,
